news_content,news_source,news_time,news_title
" （上接第一版）大幅减少办理要件和各种证明，最大限度地为服务对象提供便利。 
 窗口服务优化战。婚姻、救助、殡葬等直接对服务对象提供公共服务的窗口单位，要按照市推行公共服务窗口错时延时工作制度的要求，结合各自服务对象特点及业务量大小，通过AB... ...

								",,2019.02.17,最大幅度减少各种办理要件和证明---上接第一版
" 新华社北京2月16日电 （记者 郁琼源）新个人所得税法实施后，个税零申报是否等于没有纳税记录？记者16日从国家税务总局了解到，个税零申报并不影响纳税记录连续性。 
 国家税务总局12366北京纳税服务中心近期接到纳税人来电咨询新个人所得税法... ...

								",,2019.02.17,个税零申报不影响纳税记录连续性
" 2月16日，乡村社火队在河北省张家口市大境门景区广场表演舞龙。 
 当日，来自张家口市桥西区、桥东区、经济开发区的民俗秧歌表演队大境门景区广场进行了舞龙、打腰鼓、扭秧歌等传统社火展演，热热闹闹迎元宵。 ...

								",,2019.02.17,舞龙迎元宵
" 新华社华盛顿2月15日电 从生活在撒哈拉沙漠的箭蚁获得启发，法国科研人员开发出一款可以认路的“机器蚂蚁”，不需要全球定位系统（GPS），仅利用阳光就能找到归路。这为研究新的、可运用于自动驾驶车辆和机器人等设备的导航方式提供了思路。 ...

								",,2019.02.17,法国“机器蚂蚁”可利用阳光导航
" 新华社天津2月16日电 （记者 周润健）天文专家介绍，本月18日晨,太阳系的两颗大行星金星和土星将上演精彩“二人转”。如果天气晴好,我国公众可目睹到金星和土星在东南方天空“星星相吸”的有趣情景。 
 天文教育专家、天津市天文学会理事赵之珩介... ...

								",,2019.02.17,我国公众18日可赏“金土二人转”
" 新华社记者 樊永强 解放军报记者 余金虎 
 
 “看了这部片子，就能找到‘中国共产党为什么能’的密钥。”几个月过去了，参与筹备中央军委党的建设会议的军队党建专家刘星星，对历史文献片《回望延安》依然记忆犹新。 
 2018年8月，中央军委党... ...

								",,2019.02.17,习主席勉励我们坚守初心
" 新华社北京2月16日电 （记者 樊 曦 叶昊鸣）记者从中国铁路总公司获悉，16日，全国铁路预计发送旅客1100万人次，同比增长8.6%，加开旅客列车872列。铁路春运客流持续高位运行，连续8天单日发送旅客超千万人次。 
 为做好节后旅客运输... ...

								",,2019.02.17,铁路春运客流连续8天单日超千万
" 本报讯 （记者 赵元君 张静雯） 日前，河北省人民政府决定追授郑科等、授予吕保民、康林书等在内的个人及群体“河北省见义勇为英雄”的荣誉称号。  
 来自河南息县的21岁打工小伙儿郑科，在生与死的危急关头，纵身一跃，用生命诠释了“英雄”的含义... ...

								",,2019.01.20,挺身而出是他们的选择
" （上接第一版）采用“互联网+大喇叭”云广播技术，每天早、中、晚三次广播，设置了《党的好声音、唱响新农村》《农业科技之声》《专家到咱村，有事您就问》《百姓身边事》《听喇叭广播、享健康生活》《相互转告》《农情气象》等贴近农时季节，紧扣农民需求，... ...

								",,2019.01.20,“新农村大喇叭”总结推进会召开---我市经验推广至全国200多个（区）县（上接第一版）
" 本报讯(记者 杜倩倩)1月19日，我市召开“大棚房”问题清理整治工作推进会，主要对全市“大棚房”清理整治工作进行再安排、再推进，进一步统一思想，提高认识，迅速掀起“大棚房”清理整治高潮，确保2月20日前高标准完成清理整治任务。市委常委、副市... ...

								",,2019.01.20,不折不扣抓好“大棚房”清理整治
" 本报讯（记者 祁鹏娜）1月19日，河北省中山国文化研究会年会在平山县举办。研究会相关负责人以及中央党史文献研究院、省社科院、省社科联、省建设厅、市政协等单位的专家、代表70多人参加了会议。 
 据介绍，河北省中山国文化研究会自成立以来，不断... ...

								",,2019.01.20,让中山文化展现永久魅力---中山国文化研究会举办年会
" 本报讯（记者 宋 钧）1月19日，《己亥年》生肖邮票正式亮相省会，图案名称分别为“肥猪旺福”“五福齐聚”，全套邮票面值2.4元。 
 在“金猪盈福 生肖贺岁”河北省第二届集藏博览会上，《己亥年》生肖邮票产品惊艳亮相，生肖系列邮品美轮美奂、栩... ...

								",,2019.01.20,《己亥年》生肖邮票亮相省会
" （上接第一版） 
 新的一年，全市各级政协组织和广大政协委员要把深入学习贯彻习近平新时代中国特色社会主义思想作为首要政治任务，坚持全面履盖学、深入系统学、联系实际学、深钻细研学，筑牢团结奋斗的共同思想政治基础。要紧紧围绕市委十届六次全会确定... ...

								",,2019.01.20,凝心聚力谋发展 砥砺奋进新时代
" 李玉波书法作品 
 
 秘锡林书法作品 
 
 焦永良书法作品 
 
 曹郁书法作品 
 
 李春景摄影作品《城市动脉》 
 
 寇学臣书法作品 
 
 冯建辉《葡萄》 
 
 冯建法《人物》 
 
 肖建科书法作品  
 
 ——省、市部... ...

								",,2019.01.20,庆祝改革开放 讴歌辉煌成就
 ...河北省禁毒委员会办公室和省体育局的指导下，市禁毒委员会办公室与省全民健步走协会携手，在,,2019.01.21,我市举行禁毒示范城市创建宣传活动
" 书法家正在为群众免费写春联。 
 
 苏味道诞辰1370周年纪念活动。 
 
 苏邱村街道墙壁上刻画的苏味道与弟弟苏味玄的典故。 
 
 苏味道墓。 
 
 苏诗酒系列产品。 
 
 
 
 
 
 
 
 位于栾城区苏邱村主街道上的苏味道... ...

								",,2019.01.21,三苏祖籍品诗酒 千古风雅传文脉---——栾城区打造三苏文化侧记
" 新华社记者 安 蓓 刘红霞 
 
 习近平总书记近日主持召开京津冀协同发展座谈会并发表重要讲话，强调要从全局的高度和更长远的考虑来认识和做好京津冀协同发展工作，增强协同发展的自觉性、主动性、创造性，保持历史耐心和战略定力，稳扎稳打，勇于担当... ...

								",,2019.01.20,推动京津冀协同发展取得新的更大进展---——解读习近平总书记在京津冀协同发展座谈会上的重要讲话
 据李墨林生前同事，原,,2019.01.22,传承工匠之道 弘扬中医国粹
" 提案人：荆爱珍委员 
 
 近几年，平山县委、县政府作为保护开发的责任主体，始终坚持“保护为主、抢救第一、合理利用、加强管理”的方针，全面加强中山古城遗址保护开发工作。 
 为了更好地保护与开发中山古城遗址，荆爱珍委员建议，要加快落实中山古... ...

								",,2019.01.23,积极推进中山古城遗址保护与开发
" 司存喜作人大常委会工作报告。 本报记者 摄  
 
 本报讯 （记者 王 静） 1月22日下午，市十四届人大四次会议举行第二次全体会议，听取市人大常委会、市法院、市检察院工作报告。 
 会议由大会主席团常务主席、执行主席李德进主持。大会执行... ...

								",,2019.01.23,市十四届人大四次会议 举行第二次全体会议---听取市人大常委会、市法院、市检察院工作报告
" 本报讯 （记者 焦莉莉） 连日来，出席市十四届人大四次会议的各代表团，认真审议市政府工作报告。代表们一致认为，报告通篇贯彻了习近平新时代中国特色社会主义思想，政治站位高，总结成绩客观全面，谋划工作思路清晰，提出目标明确可行，充分反映了新时代... ...

								",,2019.01.23,各代表团认真审议 政府工作报告
" ...议。 
 会议应出席115人，实际出席110人，符合规定人数。 
 会议审议通过了政协",,2019.01.23,市政协召开十三届十一次常委会议
" ...学恭，秘书长赵磊出席会议。 
 会议审议通过了政协",,2019.01.23,市政协召开十三届二十二次主席会议
" 本报讯 （首席记者 齐广君） 在市“两会”召开期间，省委常委、市委书记邢国辉专程看望慰问了市“两会”的工作人员和新闻媒体记者，向大家的辛勤付出表示衷心感谢。市委副书记、市长邓沛然，市委副书记李德进，市人大常委会主任司存喜，市政协主席刘明轩参... ...

								",,2019.01.23,市领导看望市“两会”工作人员和媒体记者---邢国辉邓沛然李德进司存喜刘明轩参加
" 本报讯 （记者 王 静） 1月22日下午，市十四届人大四次会议主席团第二次会议举行。 
 大会主席团常务主席邢国辉、李德进、司存喜、楚行宇、安树国、韩保来、李志宏、王丽君、张院生在主席台就座。韩保来主持了会议。 
 应出席这次会议的主席团成... ...

								",,2019.01.23,市十四届人大四次会议 主席团第二次会议举行
" 本报讯 （记者 王 静） 1月22日上午，市十四届人大四次会议主席团常务主席会议举行。 
 大会主席团常务主席邢国辉、李德进、司存喜、楚行宇、安树国、韩保来、李志宏、王丽君、张院生出席会议。楚行宇主持会议。 
 应出席这次会议的主席团常务主... ...

								",,2019.01.23,市十四届人大四次会议 主席团常务主席会议举行
 根据《,,2019.01.23,市第十四届人民代表大会第四次会议 关于设立
" 李雪荣参加无极县代表团审议时要求 
 加快转型升级 让发展高质量 
 本报讯 （记者 吴 温）1月21日下午，市委常委、常务副市长李雪荣参加了无极县代表团的审议。 
 讨论时，代表们踊跃发言。大家一致认为，市政府工作报告通篇贯穿了习近平新时... ...

								",,2019.01.23,市领导参加人大会议代表团审议
" 本报讯（记者 王丽强）日前，省卫生健康委、省公安厅联合印发河北省《出生医学证明》管理办法。就出生医学证明的签发、管理、监督等流程作出具体规定。 
 办法明确，《出生医学证明》是证明新生儿出生时的健康及自然状况、血亲关系以及申报国籍、出生登记... ...

								",,2019.01.17,伪造出生医学证明将被追究法律责任
" 本报讯 （记者 焦莉莉）发展靠项目，项目靠招商，招商引资是经济工作的重中之重。为落实市委十届六次全会精神，深入推进项目建设年活动，市投资促进局积极谋划重点项目，加快招商引资工作节奏，强化招商引资成果导向，将1月份列为“招商引资启动月”，集中... ...

								",,2019.01.10,我市将1月份定为“招商引资启动月”
" 74、创卫对小区直饮水有什么要求？ 
 （1）原水水质应符合《生活饮用水卫生标准》要求。采用反渗透水质净化技术时，出水水质应符合《生活饮用水水质处理器卫生安全与功能评价规范——反渗透处理装置》要求；采用纳滤水质净化技术时，出水水质应符合《饮... ...

								",,2019.01.10,创卫知识100条
" （上接第一版）要抢抓重大机遇，进一步加强统筹谋划、政策研究、工作指导，扎实推进石保廊全面创新改革试验区建设，更好地发挥引导作用，对接京津，促进河北的改革发展。 
 司存喜指出，坚持以人民为中心的发展思想，高度重视保障和改善民生。实施20项民... ...

								",,2019.01.16,落实大会精神 助推工作落实
" 本报讯 （记者 戴丽丽）“要紧紧围绕‘4+4’现代产业发展、城市建设、脱贫攻坚等重点工作开展民主监督，强化成果运用，推动政协民主监督成果转化为具体措施。”这是市委在2018年9月份召开的全面深化改革领导小组会议上，对市政协发挥民主监督作用促... ...

								",,2019.01.10,改革创新激发履职活力---市政协积极创新工作举措促进履职提质增效
" 本报讯 （记者 王丽强）省卫生健康委日前发出通知，授予14个县（市、区）“河北省慢性病综合防控示范区”称号，我市栾城、裕华两区榜上有名。至此，我市已成功创建国家级慢病防控示范区5个、省级慢病防控示范区3个。 
 日前，省慢性病综合防控示范区... ...

								",,2019.01.10,新增两个省级慢病防控示范区
" 新华社北京1月15日电 （记者 刘红霞） 记者15日从海关总署获悉，我国已与36个国家和地区实现“经认证的经营者”（AEO）互认，对上述国家和地区的出口值占我国出口总值约45%。 
 AEO制度由世界海关组织倡导，旨在通过海关对守法程度、信... ...

								",,2019.01.16,我国与36个国家和地区 实现海关AEO互认
" 本报记者 杜倩倩  
 
 几年时间，他把一个矛盾重重、人心涣散的落后村变成了齐心协力发展生产的先进村，把一个无人问津的“穷乡僻壤”变成了全县闻名的“富裕村”，这个人就是元氏县南佐镇北龙池村党支部书记张建奎。 
 他深知，水能载舟亦能覆舟。... ...

								",,2019.01.10,封龙山下一颗璀璨“明珠”---——记元氏县南佐镇北龙池村党支部书记张建奎
" 岗位过新年 服务暖人心 
  本报首席记者 靳晓磊  
 
 2月6日，农历正月初二，凌晨5时20分，公交8路车队的白建国已来到单位，准备当天的第一趟出车。这是他春节假期里的第三个工作日。 
 “春节期间我都正常上班，和平时一样。”白建国一... ...

								",,2019.02.07,坚守工作岗位 过个别样春节
" 本报讯 （记者 焦莉莉）近日，市投促局组织召开“肿瘤防治健康产业合作洽谈活动”，邀请北京、天津、上海和省内的医药健康领域知名专家，以及我市相关医药企业、医疗机构负责人聚在一堂，开展肿瘤医疗和健康产业合作洽谈、项目对接活动。 
 生物医药健康... ...

								",,2019.02.07,我市积极构建肿瘤防治健康产业园
" 本报讯 （记者 焦莉莉 通讯员 刘志凌）2月6日，在“一眼千年.自在正定”新春大庙会门前，伴随着热闹欢快的锣鼓声，一条金色的巨龙追逐着彩球翻腾跳跃，时而腾起，时而俯冲，变化万千，引来了八方游客前来观看，现场叫好声、助威声此起彼伏，蔚为壮观。... ...

								",,2019.02.07,游客尽享幸福中国年
" 新华社北京2月7日电 （记者 郭爽）美国航天局7日发布“月球勘测轨道飞行器”对中国嫦娥四号着陆点的成像图片。由于距离较远，嫦娥四号探测器在图片上只有约两个像素大。 
 “抢先看：嫦娥的月球着陆点”——美国航天局的图片消息标题这样写道。 
 ... ...

								",,2019.02.08,美飞行器拍到嫦娥四号 仅两像素
" 8月9日，在浙江省温岭市松门镇礁山1号码头，工作人员在固定船只。 
今年第9号台风“利奇马”（超强台风级）目前正逐渐向浙江沿海靠近。据中央气象台8月9日10时继续发布的台风红色预警，预计“利奇马”将于10日凌晨到上午在浙江象山到苍南一带沿海... ...

								",,2019.08.10,超强台风“利奇马”逼近浙江沿海
" 在我童年的记忆里，操持家务的奶奶总是手握着她的“解暑神器”——一把浅黄色缀着荷叶花边的蒲扇。奶奶长得胖，慈眉善目，说话时轻言细语。酷暑里，她稍微做点事就额头渗汗，劳作的间隙，她抿几口小茶壶的凉茶水，再就是不停地摇蒲扇来祛暑。 
在经济拮据的... ...

								",,2019.08.13,奶奶的老蒲扇
" 本报讯（首席记者 靳晓磊 见习记者 刘俊科）8月14日，将近中午时分，塔康路的塔北路菜市场对面的道路上，几名排水人员正对一口水井进行掏挖、疏通。时间不长，被堵住的收水井终于疏通完毕。 
记者看到，掏挖出来的不仅有淤泥，更多的是烂面条、烂菜叶... ...

								",,2019.08.16,一口收水井一年要掏20次---市排水处呼吁市民爱护城市排水设施
" 始建于1951年的哈电集团哈尔滨电机厂有限责任公司，是我国生产大、中型发电设备的重点骨干企业。企业近年瞄准科技前沿产品，开拓创新，制造的白鹤滩百万千瓦水轮发电机组不断挑战世界水电装备制高点，推动中国水电向世界水电“无人区”迈出坚实一步；在特... ...

								",,2019.09.06,图片新闻
" 本报讯 （记者 张晓娟） 音乐响起，镁光灯聚焦舞台上，歌声让中秋的夜晚彻底嗨起来。9月13日，2019星光音乐节在古城正定长乐门文化广场正式开唱，此次音乐节邀请了“独立民谣歌手”赵雷、“摇滚老炮”痛仰乐队、隔壁老樊等共20余支乐队，涵盖了民... ...

								",,2019.09.14,星光音乐节 中秋绽放音乐魅力
" 58年前，母亲奶水不足，是善良的史炳瑞将嗷嗷待哺的聂占林抱入怀中，并悉心抚养7年之久。长大后，聂占林决心报恩，他不仅将史炳瑞当亲生母亲一般孝顺，而且还出钱为她置办了房子。“妈，等我学业有成了，就回来孝敬您！”当年的这句承诺，聂占林记了一辈子... ...

								",,2019.08.16,他三十年如一日孝顺乳母
" 立秋之后，天气更加炎热，虽然坐在有空调的办公室上班，但我心里却时常惦记着数百公里之外乡下的爷爷奶奶。 
晚饭之后，照例打电话给爷爷。爷爷说：“我和你奶奶正忙。”听说爸爸也在家，跟爸爸视频方知爷爷奶奶正在铲红辣椒，准备做辣椒酱。 
老家的房子... ...

								",,2019.08.19,秋来辣椒红
" 8月20日，“和平列车”医疗队队员抵达老挝琅勃拉邦。          
    
 这是8月20日在老挝北部城市琅勃拉邦附近拍摄的车祸现场。
        
新华社北京8月20日电 （记者 郑明达） 外交部发言人耿爽20日在例行记者会上... ...

								",,2019.08.21,老挝车祸13名中国公民遇难---我军赴老挝“和平列车”医疗队参与救援遭遇车祸同胞
" 本报讯（张现民 孙国坤）近日，为确保“不忘初心、牢记使命”主题教育活动顺利开展，高邑县多措并举，对活动进行周密安排部署，扎实推进活动全面开展。 
该县强调，要学深悟透习近平总书记重要讲话精神，将开展好主题教育作为思想建党、理论强党的重大举措... ...

								",,2019.09.25,巩固政治思想 明确活动要求---多措并举确保主题教育活动顺利开展
" （上接第一版）当地针对古浪南部山区“一方水土养不起一方人”的实际，走出了一条高深山区贫困群众易地搬迁脱贫致富和祁连山生态环境保护双赢的扶贫开发新路子，6万多地处山区的贫困群众搬进了新房，通过发展牛羊养殖和蔬菜种植正逐步摆脱贫困。习近平对乡亲... ...

								",,2019.08.23,坚定信心开拓创新真抓实干 团结一心开创富民兴陇新局面
" ... 
永昌能否打破宿命 
本报讯 （记者 刘真） 本周末，中甲联赛将展开第23轮的较量，",,2019.08.23,永昌能否打破宿命
" 8月14日，在美国马萨诸塞州波士顿，媒体记者拍摄投入使用的新型地铁列车。 
中国中车股份有限公司（中车）在美国马萨诸塞州斯普林菲尔德工厂生产的首批新型地铁车辆14日在波士顿市正式载客运营。 新华社发 ...

								",,2019.08.16,正式运营
" 本报讯 （首席记者 靳晓磊） 7月10日，记者从市生态环境局获悉，今年二季度，全市生态环境系统共抽查企业1581家，其中重点企业107家、一般企业1419家、特殊监管企业55家。 
今年以来，市生态环境局按照河北省生态环境厅相关通知精神，统... ...

								",,2019.07.11,抽查生态环境系统企业1581家
" 本报讯 （记者 李彦水 见习记者 赵娇莹）近日，高新区出台众创空间备案管理办法，决定根据量化打分排名，对排名前30%且总分在70分以上的众创空间给予10万元奖励。 
高新区鼓励科技企业孵化器、行业领军企业、创业投资机构、社会组织投资建设或管... ...

								",,2019.07.14,优秀众创空间奖励10万元
" 9月2日，在英国伦敦，慈善机构工作人员将英国首相鲍里斯·约翰逊的杰克罗素梗犬带到唐宁街10号首相官邸。新华社发 ...

								",,2019.09.04,英首相宠物狗入住唐宁街
" 9月1日交通晚高峰时段，勒泰中心附近一名孕妇突然身体出血先兆流产。危急时刻，路面交警骑摩托车开路，一路护送将拉载孕妇的车辆送至市六院，为抢救孕妇、保住胎儿赢得了宝贵时间。 
交警护送一路绿灯 
当日17时40分许，正在中山路维明大街口执勤的... ...

								",,2019.09.04,交警护航开辟“生命通道”
" 本报讯 （记者 赵元君）“司机主动停车礼让，女孩不忘鞠躬致谢，那一幕让人感觉特别温馨，咱家乡真是处处见文明！”9月2日，市民刘女士向记者讲述了她不久之前亲眼目睹的暖心一幕。 
刘女士说，事情发生在8月26日，当天中午，她乘坐65路公交车外出... ...

								",,2019.09.04,公交车斑马线前礼让行人 过街女孩特意鞠躬表感谢
" 本报讯（记者 岳金宏）9月1日-2日，第四届京津冀中药材产业发展大会在安国举行。我市农业农村局组织行唐、平山、灵寿、深泽、正定、晋州、无极、元氏、新乐、井陉等县（市、区）农口负责人参加了大会。我市参展涉及2个精品展区、2个扶贫展区、3个大健... ...

								",,2019.09.04,签约总金额1300余万元
" 本报讯（首席记者 范玉蕾）8月30日，由人民邮电报社、河北省通信管理局共同主办的第十六届中国信息港论坛在我市召开，与会专家共议“5G时代的机遇与挑战”。 
专家指出，5G将成为经济高质量发展的重要引擎。当前，国内经济高质量发展处于爬坡过坎关... ...

								",,2019.09.01,专家共议“5G时代的机遇与挑战”---中国信息港论坛在我市举办
" 本报讯（记者 杜倩倩 见习记者 张 洁）8月30日，井陉县辛庄乡大里岩村迎来了一批客人，48名山区八县（区）林业主管部门负责人相聚在一起，共话花椒产业发展。 
该村75岁的老人许芳正在打理他的花椒树，说到种花椒的收益，许芳笑得合不拢嘴:“我... ...

								",,2019.09.01,发展小花椒 建设大产业---我市召开花椒产业现场观摩会
" ... 董永博 摄       
本报讯（记者 刘 真 见习记者 陈思帆）8月31日，2019石",,2019.09.01,公路上演激情竞速---
" 本报讯（记者 焦莉莉）8月31日上午，市政府新闻办召开中国（河北）自由贸易试验区正定片区新闻发布会。副市长赵文锋在发布会上表示，正定片区挂牌，打开了我市进一步对外开放的一扇门，对于加快政府职能转变，加快区域协调发展，推动产业转型升级，形成汇... ...

								",,2019.09.01,打造河北省开放型经济增长的新窗口
" 我市打造14个市级以上 
现代农业精品园区 
2版 
 
住在",,2019.08.30,图片新闻
" “大家快尝尝我们新研制的鲜奶！”眼前，正向一群消费者热情介绍君乐宝产品的，正是君乐宝乳业集团总裁魏立华。他满脸微笑透着自信，“这奶是‘含着金钥匙出生’的，上市前，就已经获了国际大奖。” 
20多年前，魏立华丢掉“金饭碗”，把档案交给了省人才... ...

								",,2019.08.30,用企业家精神挺起国产奶业脊梁---——记全国非公经济人士优秀中国特色社会主义事业建设者魏立华
" 插上智慧的羽翼，历经华丽的蝶变。科技赋能，在我市各行各业均有生动的诠释和精彩的解读。 
通过“科技特派员”的点拨，过去一直解不开的种植难题，顿时豁然开朗，农民的头脑变得透亮了。在科技服务平台的扶持下，以前只知埋头拉车的企业，从此心里有了本明... ...

								",,2019.08.30,让科技创新为高质量发展赋能
" 见习记者 李坤晓 
 
促进“互联网+”融合、推进绿色农业生产、园区科技改造提升……近年来，在推进现代农业园区建设中，我市从实际出发，适时把园区建设的重点由数量增长转为质量提升。近日，记者从市农业农村局获悉，我市连续实施重点园区提档升级工程... ...

								",,2019.08.30,打造14个市级以上现代农业精品园区
" 见习记者 张 洁 李坤晓 
猪肉和鸡蛋都是百姓生活必不可少的，也是市民菜篮子中最主要的一部分，中秋节临近，猪肉和鸡蛋价格持续上涨，目前猪肉价格突破15元大关达到17.5元/斤至19.5元/斤，鸡蛋价格高达5.2元/斤至5.5元/斤，针对价格... ...

								",,2019.08.22,中秋临近肉蛋价格不淡定---生猪供给偏紧鸡蛋需求增多为价格上扬主因
" 新华社北京8月22日电 （记者 张泉 温竞华）建立健全基本药物、急（抢）救药等常用药保供稳价长效机制，事关人民群众健康安全。国家卫生健康委员会副主任曾益新22日表示，国家卫生健康委将会同有关部门，研究制定进一步做好短缺药品保供稳价工作的政策... ...

								",,2019.08.23,我国将进一步完善短缺药品供应保障体系
" ...创历史新高。 
进入暑运旺季以来，河北航空新增、加密了多条国内旅游航线，如新增了",,2019.09.04,执行班次及客运量双创新高
" 新华社西宁8月22日电 （记者 王浡）“2019中国民营企业500强峰会”22日在青海西宁开幕，2019“中国民营企业500强”“中国民营企业制造业500强”“中国民营企业服务业100强”榜单正式发布。华为投资控股有限公司以年营业收入721... ...

								",,2019.08.23,2019中国民营企业500强榜单发布 华为稳居榜首
" 8月31日，在巴西亚马孙州，工作人员在一处着火点灭火。巴西外交部长埃内斯托·阿劳若8月30日说，巴西正在尽力扑灭亚马孙雨林大火，已经成功控制火势。 新华社发 ...

								",,2019.09.02,雨林火灾
" （上接第一版） 
会议要求，牢牢抓住主题教育重点措施，紧密结合政协工作，把学习教育、调查研究、检视问题、整改落实贯穿主题教育和政协履职全过程。要坚持以上率下，层层传导压力，以主题教育带动各项工作开展，以各项工作成效检验主题教育效果，为建设现... ...

								",,2019.09.11,扎实开展主题教育奋力开创政协工作新局面
" 新华社北京8月29日电 29日，中国男篮参加2019年国际篮联篮球世界杯的12人名单终于“压哨”敲定，对于这份名单，中国男篮主教练表示，球员们都有自己鲜明特点，本次世界杯的目标是全力争取小组出线。 
最后时刻才确定名单，李楠表示：“其实，确... ...

								",,2019.08.30,球员各有特点 全力争取出线
" 本报讯 （记者 张晓娟） 由海岩小说改编，李骏执导，范伟、宋洋、焦俊艳、陈数联袂主演的情感悬疑犯罪电影《长安道》正式宣布定档并曝光首支预告。 
电影《长安道》改编自海岩的小说《长安盗》，主要讲述了因为一起大型国宝失窃案，身为刑警的赵红雨，在... ...

								",,2019.08.30,范伟主演新作《长安道》定档
" 车辆购置税手机端网上申报缴税系统上线 
 
 
本报讯（首席记者 靳晓磊）近日，记者从市税务局了解到，目前我省《车辆购置税手机端网上申报缴税系统》已经上线运行，省会市民购买机动车后，可随时随地通过智能手机，进行车购税的申报和缴纳。 
据市税... ...

								",,2019.09.11,省会购车者可通过手机缴纳车购税
 ...，一年一度的中秋佳节即将来临。记者从,,2019.09.11,机场将迎来中秋出行小高峰
" （上接第一版）不断提高环省会农业观光感、城市居民参与感、周边农民获得感。 
在都市型现代农业园区建设中突出特色优化布局，以田园风光为主调，鼓励新型农业经营主体、现代农业园区，重点种植观光类农作物、设施果蔬、观赏花卉、生态风景林，不断提高环省... ...

								",,2019.09.11,打造精品园区 丰富产品业态
 ...日，为庆祝中华人民共和国和人民政协成立70周年，京津冀三城区政协书画展暨石,,2019.09.03,京津冀三城区政协书画展在我市举办
" 秋风起兮，徜徉乡村山野，不时看到房前屋后、田头地角那满架的扁豆花开正艳，白色紫色交映，而从这些花朵孕育而成的豆荚或躲在翠叶间，或露在碧蔓上，鲜嫩诱人，给秋天平添几分灵动和生气。 
扁豆，为一年生蔓生草本植物，又称藊豆、藤豆、鹊豆、匾豆、沿篱... ...

								",,2019.09.03,满架秋风扁豆熟
" 本报讯 （记者 张晓娟） 碧荷生幽泉，朝日艳且鲜。8月31日上午，河北文学馆读书荟座无虚席。当代著名小说家、鲁迅文学奖得主、河南省作协副主席乔叶应邀主讲《写作的第一道德》。近百名省内外作家、高校师生和文学爱好者慕名前来聆听讲座。 
乔叶结合... ...

								",,2019.09.02,“写作的第一道德”是什么---听鲁迅文学奖得主乔叶来讲讲
 本报讯 （记者 张晓娟） 日前，精英剧场原创剧目演出季启动仪式在,,2019.09.02,用一部戏讲述我们的城市---精英剧场原创剧目演出季启动
" 9月1日，在广东深圳举行的2019年篮球世界杯小组赛G组比赛中，法国队以78比74险胜德国队。图为法国队球员戈贝尔（右）带球突破德国队球员沃格特曼的防守。 
新华社发 9月1日，在广东东莞举行的2019年篮球世界杯小组赛H组比赛中，澳大利亚... ...

								",,2019.09.02,54名现役美职篮球员参赛---刷新篮球世界杯纪录
" 新华社北京9月2日电（记者 鲁 畅）记者从天安门地区管理委员会获悉，根据北京市庆祝中华人民共和国成立70周年活动筹备工作统一部署安排，天安门广场于2019年9月7日18时至9月8日10时暂停对外开放（届时，将根据广场实际情况适时恢复对外开放... ...

								",,2019.09.03,天安门广场9月7日18时 至8日10时暂停对外开放
" 新华社北京9月2日电 近日，国务院办公厅印发《体育强国建设纲要》（以下简称《纲要》），部署推动体育强国建设，充分发挥体育在建设社会主义现代化强国新征程中的重要作用。 
《纲要》指出，要以习近平新时代中国特色社会主义思想为指导，按照党中央、国... ...

								",,2019.09.03,2050年全面建成社会主义现代化体育强国
" 这是9月2日由德国柏林动物园提供的大熊猫双胞胎幼崽照片。德国柏林动物园2日宣布，2017年来到柏林的中国大熊猫、6岁的“梦梦”于当地时间8月31日产下一对双胞胎。这是大熊猫首次在德国产崽。 新华社发 ...

								",,2019.09.03,旅德大熊猫“梦梦”产下双胞胎
" 威海湾甲午沉舰遗址第一期调查项目考古队员入海进行潜水作业。新华社发          
    下图为9月2日拍摄的威海湾甲午沉舰遗址第一期调查项目出水的一块“定远舰”的舱盖。
 新华社发       
9月2日，“威海湾一号甲午沉舰遗址保... ...

								",,2019.09.03,“定远舰”沉舰遗址在威海发现
" 新华社北京9月2日电（记者 罗争光）9月5日将迎来我国第四个“中华慈善日”。民政部2日在京发布了“中华慈善日”专属标志，以此更好传播慈善理念和文化，营造崇德向善的良好氛围，激发社会各界参与慈善的热情。 
据介绍，“中华慈善日”标志自2018... ...

								",,2019.09.03,“中华慈善日”正式迎来专属标志
" 本报讯 （记者 王 静） 8月26日，市人大常委会主任司存喜，副主任李志宏等，就我市创建国家卫生城市工作进行视察。司存喜指出，创建国家卫生城市工作要真抓实干，通过创卫使城市面貌和城市管理水平得到切实提高，使广大市民素质得到提升，真正让老百姓... ...

								",,2019.08.27,通过创卫切实提高城市管理水平
" 本报讯 （记者 岳金宏 见习记者 何圆圆） 8月21日，在藁城区北营村边，大面积高低相间的玉米跟大豆，形成了高低起伏的层层波浪。下车走进地里，只见玉米已经长得和小孩子的胳膊一样粗细，刚生长出的豆荚在微风中翩翩起舞，似乎在预示着今年的大丰收。... ...

								",,2019.08.27,种养结合 经济与生态效益双“丰收”---——调优秋粮种植结构系列报道②
" （上接第一版） 
市中级人民法院党组存在的问题是：贯彻落实中央和省委、市委决策部署有差距。未建立员额法官绩效考核及奖惩退出机制。舆情应对主动性不强。创先争优劲头不足。审判质量有待提高。档案资料管理不规范，对劳务派遣人员的教育管理松懈。对有的... ...

								",,2019.08.28,十届市委第六轮巡察完成反馈
